ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung [erschlossen],Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
161,SZ-AAP/W-AA146.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,,Die Internationale Stiftung Mozarteum (Vorwort),,,,Internationale Stiftung Mozarteum 1931,Mozarteum,1931,,,1931,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 5,,,,Schwarze Tinte,,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Internationale Stiftung Mozarteum, Salzburg: Kiesel, 1931","Mozart, Wolfgang Amadeus",http://d-nb.info/gnd/118584596,,,http://d-nb.info/gnd/1047605287,,,
162,SZ-AAP/W-AA147.0,Unbekannt,,,,Unbekannt,"Munthe, Axel",,,,,,"Munthe, Axel",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Munthe, Axel",http://d-nb.info/gnd/118585789,,,http://d-nb.info/gnd/1047605287,"Zweite Aufschrift: ""Axel Munthe | Notizen zu A. M.""",,
163,SZ-AAP/W-AA147.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Ein paar Notizen zu Axel Munthe.,,,,,,"Munthe, Axel",,,,,ger,"Typoskript, 4 Blatt, 2 Exemplare",,Seite 2 bis 4,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Munthe, Axel",http://d-nb.info/gnd/118585789,,,http://d-nb.info/gnd/1047605287,,,
164,SZ-AAP/W-AA148.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Musset und Baudelaire,,,,,,Musset und Baudelaire,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Eulenberg, Herbert; Musset, Alfred de; Baudelaire, Charles",http://d-nb.info/gnd/118682636; http://d-nb.info/gnd/118585940; http://d-nb.info/gnd/118507184,"Dichtungen. Gedichte. Von Alfred de Musset. Ins Deutsche übertragen von Herbert Eulenberg, Berlin: Propyläen-Verlag, 1923",https://d-nb.info/575595582,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Musset u. Baudelaire""",,
165,SZ-AAP/W-AA148.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Musset und Baudelaire in deutscher Uebertragung.,,,,,Frankf. Z.,Musset und Baudelaire,1. Juni 24,,,1924-06-01,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Blauer Buntstift,,Frankfurt,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Frankfurter Zeitung, Frankfurt, 1. 6. 1924","Eulenberg, Herbert; Musset, Alfred de; Baudelaire, Charles",http://d-nb.info/gnd/118682636; http://d-nb.info/gnd/118585940; http://d-nb.info/gnd/118507184,"Dichtungen. Gedichte. Von Alfred de Musset. Ins Deutsche übertragen von Herbert Eulenberg, Berlin: Propyläen-Verlag, 1923",https://d-nb.info/575595582,http://d-nb.info/gnd/1047605287,,,
166,SZ-AAP/W-AA149.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Napoleon,,,,,,Napoleon,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Napoleon I., Frankreich, Kaiser",http://d-nb.info/gnd/118586408,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Napoleon und Emma""",,
167,SZ-AAP/W-AA149.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Napoleon und Emma. Eine unbekannte Episode,,,,,,Napoleon,23. Oktober 1932,,,1932-10-23,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 23. Oktober 1932","Napoleon I., Frankreich, Kaiser",http://d-nb.info/gnd/118586408,,,http://d-nb.info/gnd/1047605287,,,
168,SZ-AAP/W-AA149.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Neue Napoleon-Manuskripte,,,,,,Napoleon,,September 1929,,1929-09,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 246 bis 248,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Philobiblon, Wien, September 1929","Napoleon I., Frankreich, Kaiser",http://d-nb.info/gnd/118586408,"Manuscrits de Napoleon 1793-1795, en Pologne, Paris/Warschau: Jerôme Wilder/Simon Askenazy, 1929",,http://d-nb.info/gnd/1047605287,,,
169,SZ-AAP/W-AA150.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Nekrolog auf ein Hotel,,,,,,Nekrolog auf ein Hotel,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Niels Lyhne""",,
170,SZ-AAP/W-AA150.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Nekrolog auf ein Hotel.,,,,,,Nekrolog auf ein Hotel,13. VII. 1918,,,1918-07-13,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Basel,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"National-Zeitung, Basel, 13. 7. 1918",,,,,http://d-nb.info/gnd/1047605287,,,
171,SZ-AAP/W-AA151.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Neumann, Karl Eugen",,,,,,"Neumann, Karl Eugen",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Neumann, Karl Eugen",http://d-nb.info/gnd/118815903,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""(Karl Eugen Neumann)""",,
172,SZ-AAP/W-AA151.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Erhabenes Vermächtnis.,,,,,N. FPr.,"Neumann, Karl Eugen",26. Okt. 19,,,1919-10-26,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 26. 10. 1919","Neumann, Karl Eugen",http://d-nb.info/gnd/118815903,,,http://d-nb.info/gnd/1047605287,,,
173,SZ-AAP/W-AA152.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Nietzsche,,,,,,Nietzsche,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Nietzsche, Friedrich",http://d-nb.info/gnd/118587943,,,http://d-nb.info/gnd/1047605287,"Blatt nachträglich zugeschnitten, ursprüngliche Aufschrift unleserlich",,
174,SZ-AAP/W-AA152.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Nietzsche und der Freund.,,,,,,Nietzsche,,21. Dezember 1916,,1916-12-21,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 21. 12. 1916",,,,,http://d-nb.info/gnd/1047605287,,,
175,SZ-AAP/W-AA152.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Mater dolorosa (Die Briefe von Nietzsches Mutter an Overbeck),,,,,,Nietzsche,,1937,,1937,ger,"Typoskript, 9 Blatt, korrigiert",,Seite 2 bis 8,,,,Schwarze Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Nietzsche, Friedrich; Nietzsche, Franziska; Overbeck, Franz",http://d-nb.info/gnd/118587943; http://d-nb.info/gnd/119158582; http://d-nb.info/gnd/118590960,"Der kranke Nietzsche. Briefe seiner Mutter an Franz Overbeck. Hrsg. von Erich F. Podach, Wien: Bermann-Fischer, 1937",https://d-nb.info/993310559,http://d-nb.info/gnd/1047605287,,,
176,SZ-AAP/W-AA152.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Mater dolorosa (Die Briefe von Nietzsches Mutter an Overbeck),,,,,,Nietzsche,,1937,,1937,ger,"Manuskript, 7 Blatt, korrigiert",,Seite 1 bis 7,,,,"Violette Tinte, rote Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Manuskripte,,,"Nietzsche, Friedrich; Nietzsche, Franziska; Overbeck, Franz",http://d-nb.info/gnd/118587943; http://d-nb.info/gnd/119158582; http://d-nb.info/gnd/118590960,"Der kranke Nietzsche. Briefe seiner Mutter an Franz Overbeck. Hrsg. von Erich F. Podach, Wien: Bermann-Fischer, 1937",https://d-nb.info/993310559,http://d-nb.info/gnd/1047605287,,,
177,SZ-AAP/W-AA153.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Opfer, Die vergeblichen",,,,,,"Opfer, Die vergeblichen",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Dank an die Bücher""",,
178,SZ-AAP/W-AA153.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Die vergeblichen Opfer.,,,,,"*""anbefohlenen"" (censuriert)","Opfer, Die vergeblichen",1917,,,1917,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 2,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Gewalt oder Verständigung? Wien, Verlag des Allgemeinen Österreichischen Frauenvereins, 1917",,,,,http://d-nb.info/gnd/1047605287,,,
179,SZ-AAP/W-AA154.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Opportunismus der Weltfeind,,,,,,Opportunismus der Weltfeind,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
180,SZ-AAP/W-AA154.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Opportunismus, der Weltfeind",,,,,,Opportunismus der Weltfeind,Oktober 1918,,,1918-10,ger,"Zeitungsausschnitt, 3 Blatt",,Seite 69 und Seite 71 bis 74,,,,Violette Tinte,,München/Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Forum, München/Berlin, Oktober 1918",,,,,http://d-nb.info/gnd/1047605287,,,
181,SZ-AAP/W-AA155.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Orbis literarum,,,,,erschienen in:,Orbis literarum,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
182,SZ-AAP/W-AA155.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,Orbis literarum,,,,,Orbis literarum,,,,,ger,"Typoskript, 5 Blatt, korrigiert",,Seite 4 und 5,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,"Incipit: ""Den Freunden des Insel-Verlags...""",,
183,SZ-AAP/W-AA156.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Petzold, Alfons",,,,,,"Petzold, Alfons",,,,,ger,"Manuskript, 1 Blatt, korrigiert",,,,,,"Violette Tinte, schwarze Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Petzold, Alfons",http://d-nb.info/gnd/118740601,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Parsifal in New York"". Blatt nachträglich zugeschnitten",,
184,SZ-AAP/W-AA156.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Alfons Petzold,,,,,1,"Petzold, Alfons",,,,,ger,"Typoskript, 7 Blatt, korrigiert",,Seite 1 bis 6,,,,"Violette Tinte, schwarze Tinte, roter Buntstift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Petzold, Alfons",http://d-nb.info/gnd/118740601,,,http://d-nb.info/gnd/1047605287,,,
185,SZ-AAP/W-AA156.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Alfons Petzold.,,,,,,"Petzold, Alfons",17. VII. 19.,,,1919-07-17,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Bleistift,,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Salzburger Volksblatt, Salzburg, 17. 7. 1919","Petzold, Alfons",http://d-nb.info/gnd/118740601,,,http://d-nb.info/gnd/1047605287,,,
186,SZ-AAP/W-AA156.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gedenken an Alfons Petzold.,,,,,*24. † 2,"Petzold, Alfons",Sept. 193,24. 9. 1932,,1932-09-24,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Roter Buntstift,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 24. 9. 1932","Petzold, Alfons",http://d-nb.info/gnd/118740601,,,http://d-nb.info/gnd/1047605287,Blatt nach Beschriftung zugeschnitten,,
187,SZ-AAP/W-AA156.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gedichte.,,,,,,"Petzold, Alfons",2/III 1912,,,1912-03-02,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 299 bis 302,,,,"Violette Tinte, Beistift",,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Zukunft, Berlin, 2. 3. 1912","Petzold, Alfons",http://d-nb.info/gnd/118740601,,,http://d-nb.info/gnd/1047605287,,,
188,SZ-AAP/W-AA157.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Proust, Marcel",,,,,,"Proust, Marcel",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Proust, Marcel",http://d-nb.info/gnd/118596799,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Proust's Marcel tragischer Lebenslauf""",,
189,SZ-AAP/W-AA157.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Marcel Prousts tragischer Lebenslauf.,,,,,,"Proust, Marcel",27. September 1925,,,1925-09-27,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 27 und 28,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 27. 9. 1925","Proust, Marcel",http://d-nb.info/gnd/118596799,,,http://d-nb.info/gnd/1047605287,,,
190,SZ-AAP/W-AA158.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Anfang Radiovortrag Paris,,,,,,Radiovortrag,Apr. 1940,,,1940-04,frz,"Typoskript, 2 Blatt, korrigiert",,Seite 2,,,,"Violette Tinte, Bleistift",,Paris,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,"Überarbeitete Fassung des Anfangs zum Vortrag ""Pour ceux qui ne peuvent pas parler"" (Radio Paris, 24. April 1940). Auf Deutsch als ""Das grosse Schweigen"" nachgedruckt in: Das Neue Tagebuch, Paris, 4. Mai 1940",,
191,SZ-AAP/W-AA159.0,Unbekannt,,,,Unbekannt,"Ramuz, Pour",,,,,(Zum 60. Geburtstag),"Ramuz, Pour",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Ramuz, C. F.",http://d-nb.info/gnd/118598236,,,http://d-nb.info/gnd/1047605287,,,
192,SZ-AAP/W-AA159.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Pour Ramuz!,,,,,(zu R.'s 60. Geburtstag),"Ramuz, Pour",1938,,,1938,ger,"Zeitungsausschnitt, 3 Blatt",,Seite 63 bis 66 und Seite 68,,,,Violette Tinte,,Lausanne,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Hommage à Ramuz, Lausanne: V. Porchet, 1938","Ramuz, C. F.",http://d-nb.info/gnd/118598236,,,http://d-nb.info/gnd/1047605287,,,
193,SZ-AAP/W-AA160.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Rathenau, Walter",,,,,,"Rathenau, Walter",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Rathenau, Walter",http://d-nb.info/gnd/118598430,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Walter Rathenau""",,
194,SZ-AAP/W-AA160.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Der Kaufmann und der Künstler. (Anläßlich Walter Rathenaus ""Reflexionen"".)",,,,,,"Rathenau, Walter",17. IX,18. 9. 1908,,1908-09-18,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 18. 9. 1908","Rathenau, Walter",http://d-nb.info/gnd/118598430,"Reflexionen, Leipzig: Hirzel, 1908",,http://d-nb.info/gnd/1047605287,,,
195,SZ-AAP/W-AA160.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Walter Rathenaus ""Kritik der Zeit"".",,,,,,"Rathenau, Walter",,12. 6. 1912,,1912-06-12,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 12. 6. 1912","Rathenau, Walter",http://d-nb.info/gnd/118598430,"Zur Kritik der Zeit, Berlin: S. Fischer, 1912",,http://d-nb.info/gnd/1047605287,,,
196,SZ-AAP/W-AA160.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Blick über die Zeit.,,,,,,"Rathenau, Walter",6. Sept. 17,,,1917-09-06,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Bleistift,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 6. 9. 1917","Rathenau, Walter",http://d-nb.info/gnd/118598430,"Von kommenden Dingen, Berlin: S. Fischer, 1917",https://d-nb.info/1298688639,http://d-nb.info/gnd/1047605287,,,
197,SZ-AAP/W-AA160.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Walter Rathenau.,,,,,,"Rathenau, Walter",,1917,,1917,ger,"Druckfahne, 1 Blatt",,Seite 1 bis 4,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Druckfahnen,,,"Rathenau, Walter",http://d-nb.info/gnd/118598430,,,http://d-nb.info/gnd/1047605287,"Abgedruckt in: Walter Rathenau, der Organisator der deutschen Kriegsrohstoffversorgung, Leipzig: Reclams Universum, 8. 3. 1917",,
198,SZ-AAP/W-AA161.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Reisen oder Gereist-Werden,,,,,,Reisen oder Gereist-Werden,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift, roter Buntstift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Frühere Aufschrift: ""Reiseaufsätze""",,
199,SZ-AAP/W-AA161.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Reisen oder Gereist-Werden,,,,,,Reisen oder Gereist-Werden,1. Juli 1926.,,,1926-07-01,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 1052,,,,Violette Tinte,,Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Reclam Universum, Leipzig, 1. 7. 1926",,,,,http://d-nb.info/gnd/1047605287,,,
200,SZ-AAP/W-AA162.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Revolte gegen die Langsamkeit,,,,,,Revolte gegen die Langsamkeit,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
201,SZ-AAP/W-AA162.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Stefan Zweig; Lotte Zweig,Revolte gegen die Langsamkeit. Epilogue aux elections allemandes,,,,,Stefan Zweig,Revolte gegen die Langsamkeit,,1931,,1931,ger,"Typoskript, 6 Blatt, korrigiert",,Seite 2 bis 6,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,,,,,http://d-nb.info/gnd/1047605287,"Abgedruckt in: Die Zeitlupe, Berlin, 1931",,
202,SZ-AAP/W-AA163.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Rilke, Rainer Maria",,,,,,"Rilke, Rainer Maria",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Rilke, Rainer Maria",http://d-nb.info/gnd/118601024,,,http://d-nb.info/gnd/1047605287,,,
203,SZ-AAP/W-AA163.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Rainer Maria Rilke. Das Buch der Bilder.,,,,,N. Hamb. Ztg,"Rilke, Rainer Maria",27. 9. 1902,,,1902-09-27,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Schwarze Tinte,,Hamburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Hamburger Zeitung, Hamburg, 27. 9. 1902","Rilke, Rainer Maria",http://d-nb.info/gnd/118601024,"Das Buch der Bilder. Gedichte, Berlin: Axel Juncker Verlag, 1902",https://d-nb.info/gnd/4500374-9,http://d-nb.info/gnd/1047605287,,,
204,SZ-AAP/W-AA163.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Verse eines Gottsuchers.,,,,,,"Rilke, Rainer Maria",,9. 6. 1906,,1906-06-09,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 571 und 572,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Nation, Berlin, 9. 6. 1906","Rilke, Rainer Maria",http://d-nb.info/gnd/118601024,"Das Stundenbuch. (Vom mönchischen Leben, von der Pilgerschaft, von der Armut und dem Tode), Leipzig: Insel-Verlag, 1906",https://d-nb.info/361626436,http://d-nb.info/gnd/1047605287,,,
205,SZ-AAP/W-AA163.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Rilkes Neue Gedichte.,,,,,,"Rilke, Rainer Maria",,15. 12. 1908,,1908-12-15,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Literarische Echo, Berlin, 15. 12. 1908","Rilke, Rainer Maria",http://d-nb.info/gnd/118601024,"Neue Gedichte, Leipzig: Insel-Verlag, 1908",https://d-nb.info/560831196,http://d-nb.info/gnd/1047605287,,,
206,SZ-AAP/W-AA164.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Rimbaud, A.",,,,,,"Rimbaud, A.",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, blauer Buntstift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Rimbaud, Arthur",http://d-nb.info/gnd/118601032,,,http://d-nb.info/gnd/1047605287,,,
207,SZ-AAP/W-AA164.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Habent sulla fata libelli. Die Geschichte eines bibliophilen Wettersturzes.,,,,,Voss Ztg,"Rimbaud, A.",22/IV. 14.,,,1914-04-22,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Vossische Zeitung, Berlin, 22. 4. 1914","Rimbaud, Arthur",http://d-nb.info/gnd/118601032,"Une saison en enfer, Brüssel: Alliance typographique, 1873",https://d-nb.info/gnd/4374009-1,http://d-nb.info/gnd/1047605287,,,
208,SZ-AAP/W-AA165.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Rolland, Romain",,,,,,"Rolland, Romain",,,,,ger,"Manuskript, 1 Blatt, korrigiert",,,,,,"Violette Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Rolland, Romain",http://d-nb.info/gnd/118602330,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Rundfragen""",,
209,SZ-AAP/W-AA165.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Brief an Romain Rolland.,,,,,Berl. Tageblatt,"Rolland, Romain",22. XII 1912.,,,1912-12-22,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 22. 12. 1912","Rolland, Romain",http://d-nb.info/gnd/118602330,"Jean-Christophe, Paris: Cahiers de la Quinzaine, 1904-1912",https://d-nb.info/gnd/4487850-3,http://d-nb.info/gnd/1047605287,,,
