PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,"Buber, Martin",http://d-nb.info/gnd/118516477,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26. VIII. 17,26. VIII. 17,,,1917-08-26,,,,,GER,"Ansichtspostkarte: ""Abendstimmung im Oytal 1006m, b. Oberstdorf, Allgäu""","Picture postcard: ""Abendstimmung im Oytal 1006m, b. Oberstdorf, Allgäu""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.30,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Die Datumsangabe des Absenders und der Poststempel, also die Aufgabe, sind einen Tag auseinander; ""Abendstimmung im Oytal 1006m"" vom Absender ersetzt durch ""Bi[g]sau""."
,,"Büll, Wolfgang",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,30. 7. 32,30. 7. 32,,,1932-07-30,,,,,GER,"Ansichtspostkarte: ""Neuhaldensleben. Stendaler Tor.""","Picture postcard: ""Neuhaldensleben. Stendaler Tor.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.31,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Verfassername unsicher,author's name uncertain,"Salzburg, Kapuzinerberg 5",
,,"Burger, Emma",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,12. VII. 1932.,12. VII. 1932.,,,1932-07-12,,,,,GER,"Ansichtspostkarte: ""Hotel Tiefenbrunner Kitzbühel""","Picture postcard: ""Hotel Tiefenbrunner Kitzbühel""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.32,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Burger, Rudolf; Burger Caroline",,,,"Salzburg, Kapuzinerberg 5","Karte ist in der Mitte einmal geklebt; zweiter und dritter Absender unleserlich = Burger, Rudolf (""Rudi""); Burger Caroline (""Lola""), Verwandtschaft von Friderike"
,,"Burgio-Ahrens, Berta",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5-9-1927,5-9-1927,,,1927-09-05,,,,,ITA,"Ansichtspostkarte: ""Palermo – Chiostro e Chiesa S. Giovanni degli Eremitii (dettaglio)""","Picture postcard: ""Palermo – Chiostro e Chiesa S. Giovanni degli Eremitii (dettaglio)""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.33,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte ist gelocht.
,,"Burgio-Ahrens, Berta",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28-7-1928,28-7-1928,,,1928-07-28,,,,,GER,"Ansichtspostkarte: ""Palermo – Hôtel Villa Igiea – Le terrazze""","Picture postcard: ""Palermo – Hôtel Villa Igiea – Le terrazze""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.34,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absenderin schreibt auf der Vorderseite weiter.
,,"Burgio-Ahrens, Berta",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26-11-28,26-11-28,,,1928-11-26,,,,,GER,"Ansichtspostkarte: ""Palermo – Il Monte Pellegrino visto dal Mare""","Picture postcard: ""Palermo – Il Monte Pellegrino visto dal Mare""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.35,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Braun, Felix; Moser, Lina; Unbekannt/Unidentified (""eine neunzehnjährige Verehrerin"")",http://d-nb.info/gnd/118514598; ; ,,,"Salzburg, Kapuzinerberg 5","weitere Unterzeichner: Felix Braun, Lina Moser, dritte Unterschrift nicht identifiziert und mit dem Zusatz ""(eine neunzehnjährige Verehrerin)"" versehen, Karte ist gelocht, Adresse durchgestrichen."
,,"Burgio-Ahrens, Berta",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,17-9-33,17-9-33,,,1933-09-17,,,,,GER,"Ansichtspostkarte: ""Palermo – Quattro Canti e Corso Vittorio Emanuele""","Picture postcard: ""Palermo – Quattro Canti e Corso Vittorio Emanuele""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.36,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Cahn, Alfredo",http://d-nb.info/gnd/116401230,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29. 12. 35,29. 12. 35,,,1935-12-29,,,,,GER,"Ansichtspostkarte: ""Buenos Aires. – Plaza del Congreso.""","Picture postcard: ""Buenos Aires. – Plaza del Congreso.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.37,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Čapek, Karel",http://d-nb.info/gnd/118668250,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1916-02-27,27. II. 16,,,,FRE,"Ansichtspostkarte: ""Praha. Staroměstská mostecká věž a pomník Karla IV.""","Picture postcard: ""Praha. Staroměstská mostecká věž a pomník Karla IV.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.264,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Čapek, Josef; Gutfreund, Otto; mehrere Unbekannte/several unidentified signatures",http://d-nb.info/gnd/118518941; http://d-nb.info/gnd/118877240;,,,"Wien, Kochgasse 8",acht oder neun nicht identifizierte Unterschriften. Vorderseite: Praha. Staromestska mostecká vez a pomnik Karla IV. 
,,"Clauser, Suzanne",http://d-nb.info/gnd/1215494157,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. Sept. 1933,4. Sept. 1933,,,1933-09-04,,,,,GER,"Ansichtspostkarte: ""Schloss Thalheim N.-Oe. Schlossparkpartie""","Picture postcard: ""Schloss Thalheim N.-Oe. Schlossparkpartie""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.38,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Auf der Vorderseite ""Schlossparkpartie"" durchgestrichen und mit ""bei Neulengbach"" ersetzt."
,,"Clauser, Suzanne",http://d-nb.info/gnd/1215494157,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,,,,,GER,"Ansichtspostkarte: ""Igls mit Nockspitze Tirol""","Picture postcard: ""Igls mit Nockspitze Tirol""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.39,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Datum auf Poststempel unleserlich.
,,"Coste, Hilde",http://d-nb.info/gnd/116689196,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. 8. 14.,14. 8. 14.,,,1914-08-14,,,,,GER,"Ansichtspostkarte: ""Lübeck | Alte Salzspeicher an der Trave""","Picture postcard: ""Lübeck | Alte Salzspeicher an der Trave""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.40,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Auf Vorderseite ""Hilde Coste"" und ""Lübeck"" vermerkt."
,,"Danowsky, Simeon",https://d-nb.info/gnd/1151957828,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. 07. 932,20. 07. 932,,,1932-07-20,,,,,GER,"Ansichtspostkarte: ""Месембрия"" [Mesembria]","Picture postcard: ""Месембрия"" [Mesembria]",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.41,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Briefmarke fehlt.
,,"Däubler, Theodor",http://d-nb.info/gnd/118850245,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,8. III. 21.,8. III. 21.,,,1921-03-08,,,,,GER,"Ansichtspostkarte: ""Veste Coburg von Nordwest""","Picture postcard: ""Veste Coburg von Nordwest""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.42,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Desprès, Fernand",http://d-nb.info/gnd/1344848494,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6 nov. 22,6 nov. 22,,,1922-11-06,,,,,FRE,"Ansichtspostkarte: ""Versailles. Hameau de Marie Antoinette. Le Moulin""","Picture postcard: ""Versailles. Hameau de Marie Antoinette. Le Moulin""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.43,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte ist gelocht; in der Mitte ist ein großer durgestrichener Kreis.
,,"Desprès, Fernand",http://d-nb.info/gnd/1344848494,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26 avril 1924,26 avril 1924,,,1924-04-26,,,,,FRE,"Ansichtspostkarte: ""Blois. – Vue générale, prise du Château.","Picture postcard: ""Blois. – Vue générale, prise du Château.",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.44,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte ist gelocht; auch auf der Vorderseite sind eine Briefmarke und zwei Poststempel; in der Mitte ist ein großer durgestrichener Kreis.
,,"Deutsch, Ernst",http://d-nb.info/gnd/118678019,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,15/XII.14,15/XII.14,,,1914-12-15,,,,,GER,"Ansichtspostkarte: ""Der alte Judenfriedhof"" [Prag]","Picture postcard: ""Der alte Judenfriedhof"" [Prague]",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.45,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,,,"Wien, Kochgasse 8","Zweites Grußwort, Unterschrift nicht identifiziert."
,,"Diettrich, Fritz",http://d-nb.info/gnd/116116331,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,22 MAI,,,,GER,"Ansichtspostkarte: ""Paris | Les Bouquinistes du Quai St-Michel.""","Picture postcard: ""Paris | Les Bouquinistes du Quai St-Michel.""",violetter Farbstift,purple crayon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.46,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Jahr unbekannt,Year unknown,"Salzburg, Kapuzinerberg 5",
,,"Diez-Dührkoop, Minya",http://d-nb.info/gnd/116124210,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,30.VII 14,30.VII 14,,,1914-07-30,,,,,GER,"Ansichtspostkarte: ""Riffelalp et le Mont-Cervin""","Picture postcard: ""Riffelalp et le Mont-Cervin""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.47,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Droop, Fritz",http://d-nb.info/gnd/116224304,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3/I. 27,3/I. 27,,,1927-01-03,,,,,GER,"Ansichtspostkarte: ""Möckmühl""","Picture postcard: ""Möckmühl""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.48,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite ebenfalls beschrieben.
,,"Durtain, Luc",http://d-nb.info/gnd/116256877,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,July 24.,July 24.,,,1924-07,,,,,FRE,"Ansichtspostkarte: ""Cairo – A. Native Quarter""","Picture postcard: ""Cairo – A. Native Quarter""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.49,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Effenberg, H.",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. 10. 10.,6. 10. 10.,,,1910-10-06,,,,,GER,"Ansichtspostkarte: ""Leipnik. Schloss.""","Picture postcard: ""Leipnik. Schloss.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.229,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Beschriftung Bild Vorderseite: ""LEIPNIK. Schloss""."
,,"Ehrmann, Alfred von",http://d-nb.info/gnd/129065846,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1912-12-26,26. XII. 12,,,,GER,"Ansichtspostkarte: ""Baden bei Wien, Weilburg""","Picture postcard: ""Baden bei Wien, Weilburg""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.50,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Datum des Poststempels.
,,"Eisenprobst, Elfriede",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,19. 5. 1928,19. 5. 1928,,,1928-05-19,,,,,GER,"Ansichtspostkarte: ""Lussingrande – Vista del Porto""","Picture postcard: ""Lussingrande – Vista del Porto""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.51,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Erstes Grußwort von anderer Hand, nicht identifizierte Unterschrift. Eisenprobst Ernst? zu Elfriede siehe: https://www.sn.at/wiki/Hans_Glaser_senior "
,,"Fabijanović, Stephanus",http://d-nb.info/gnd/126255725,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. IX. 1926. ,24. IX. 1926. ,,,1926-09-24,,,,,GER,"Ansichtspostkarte: ""Horseshoe Bend overlooking Liebre Gulch. 'Ridge Route'| Los Angeles to Bakersfield, California.""","Picture postcard: ""Horseshoe Bend overlooking Liebre Gulch. 'Ridge Route'| Los Angeles to Bakersfield, California.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.258,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Falckenberg, Otto",http://d-nb.info/gnd/118531832,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1908-03-22,22. MÄR 08,,,,GER,"Ansichtspostkarte: ""Bruck bei München | Partie an der Amper""","Picture postcard: ""Bruck bei München | Partie an der Amper""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.53,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Fauconnier, Henri Le",http://d-nb.info/gnd/128866748,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29. 9. 22.,29. 9. 22.,,,1922-09-29,,,,,FRE,"Ansichtspostkarte: ""München | Rathaus (v. Hauberisser)""","Picture postcard: ""München | Rathaus (v. Hauberisser)""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.259,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","unterzeichnet mit ""Le F"""
,,"Fauconnier, Henri Le",http://d-nb.info/gnd/128866748,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1932-02-01,1. FEB 32,,,,FRE,"Ansichtspostkarte: ""Madrid. Palacio de Oriente""","Picture postcard: ""Madrid. Palacio de Oriente""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.260,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Ferenčak, Mirko M.",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-12-23,23. XII. 31,,,,GER,"Ansichtspostkarte: ""Maribor""","Picture postcard: ""Maribor""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.54,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Vermerk SZ: ""M. bedanken falls Adresse vorhanden""; durchgestrichener Kreis bei Text."
,,"Fischer, Ernst",http://d-nb.info/gnd/118691163,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. Mai 30.,6. Mai 30.,,,1930-05-06,,,,,GER,"Ansichtspostkarte: ""Wien I. Oper mit Kärntnerstraße""","Picture postcard: ""Wien I. Oper mit Kärntnerstraße""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.55,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Roter Kreis über Text.
,,"Fleischer, Max",http://d-nb.info/gnd/11660090X,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,18. Juli 1929,18. Juli 1929,,,1929-07-18,,,,,GER,"Ansichtspostkarte: ""Böhmerwald Heimatbilder | Falkenstein""","Picture postcard: ""Böhmerwald Heimatbilder | Falkenstein""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.56,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Monat ""Juli"" im Poststempel unleserlich."
,,"Fleischer, Victor",http://d-nb.info/gnd/116601485,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,2/VII. 08,2/VII. 08,,,1908-07-02,,,,,GER,"Ansichtspostkarte: ""Komotau Alaunhütte""","Picture postcard: ""Komotau Alaunhütte""",violetter Farbstift,purple crayon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.57,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Grüße und Text auf der Vorderseite.
,,"Fleischer, Victor",http://d-nb.info/gnd/116601485,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6/7.1914,6/7.1914,,,1914-07-06,,,,,GER,"Ansichtspostkarte: ""Salzkammergut Bad Ischl mit kais. Villa""","Picture postcard: ""Salzkammergut Bad Ischl mit kais. Villa""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.58,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Fleischer, Victor",http://d-nb.info/gnd/116601485,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1. VIII. 26.,1. VIII. 26.,,,1926-08-01,,,,,GER,"Ansichtspostkarte: ""Levanto – Veduta del Golfo""","Picture postcard: ""Levanto – Veduta del Golfo""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.59,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absender schreibt auf Vorderseite weiter; weiterer Absender: Otto Zoff.
,,"Fleischer, Victor",http://d-nb.info/gnd/116601485,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. VIII. 29,7. VIII. 29,,,1929-08-07,,,,,GER,"Ansichtspostkarte: ""Garda""","Picture postcard: ""Garda""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.60,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Unbekannt/Unidentified (?, Alberto)",,,,"Salzburg, Kapuzinerberg 5",Weitere Unterschrift: Alberto (Stringa?). NEIN!
,,"Folkenhof, Maria",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1922-08-02,2. VIII. 1922,,,,GER,"Ansichtspostkarte: ""Stadhuis Middelburg""","Picture postcard: ""Stadhuis Middelburg""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.198,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Nachträgliche Datierung auf Vorderseite falsch,Subsequent dating on recto incorrect,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""Stadhuis Middelburg"". Falsche nachträgliche Datierung auf Vorderseite"
,,"Fontana, Oskar Maurus",http://d-nb.info/gnd/116647523,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31. XII. 31,31. XII. 31,,,1931-12-31,,,,,GER,"Ansichtspostkarte: ""Dans l'Oasis – La Séguia""","Picture postcard: ""Dans l'Oasis – La Séguia""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.265,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,,,"Salzburg, Kapuzinerberg 5",Hauptabsender nicht identifiziert. Weitere Unterschrift vermutlich von Oskar Maurus Fontana.
,,"Fontana, Oskar Maurus",http://d-nb.info/gnd/116647523,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1918-06-18,16. JUN 18,,,,GER,"Ansichtspostkarte: ""Bayer. Hochgebirge: Murnau gegen die Zugspitzgruppe""","Picture postcard: ""Bayer. Hochgebirge: Murnau gegen die Zugspitzgruppe""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.61,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absenderadresse angegeben.
